"Package","DependsPageRank","SuggestsPageRank","ImportsPageRank","Date"
"CarbonEL",0.000152996973309609,7.53993312131709e-05,0.000315696006531482,"2009-11-19"
"caret",0.000152996973309608,0.00104697051635620,0.000315696006531482,"2009-11-19"
"caroline",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"caTools",0.000466529970542605,9.18593641919563e-05,0.000315696006531482,"2009-11-19"
"CausalGAM",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"cba",0.000233689805636830,0.000137086792123778,0.000315696006531482,"2009-11-19"
"CCA",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"ccems",0.000152996973309608,8.1632252041851e-05,0.000315696006531482,"2009-11-19"
"ccgarch",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"cclust",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"CDFt",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"CDNmoney",0.000152996973309611,6.96005225522845e-05,0.000315696006531482,"2009-11-19"
"CellularAutomaton",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"cellVolumeDist",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"celsius",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"cem",0.000152996973309607,0.000108742481013268,0.000315696006531482,"2009-11-19"
"cfa",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"cggd",0.000152996973309605,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"cgh",0.000175004109398852,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"ChainLadder",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"changeLOS",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"chemometrics",0.000152996973309598,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"CHNOSZ",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"choplump",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"chplot",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"chron",0.00092986032265478,6.90765300679937e-05,0.00134638754784856,"2009-11-19"
"cimis",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"CircNNTSR",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"CircSpatial",0.000152996973309600,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"CircStats",0.000228310283481681,6.64525978506608e-05,0.000315696006531482,"2009-11-19"
"circular",0.000637153967272947,6.96005225522845e-05,0.000315696006531482,"2009-11-19"
"class",0.00445755008632917,6.38017138913983e-05,0.000315696006531482,"2009-11-19"
"classGraph",0.000152996973309608,6.65343369730616e-05,0.000315696006531484,"2009-11-19"
"classifly",0.000152996973309603,6.74744616660318e-05,0.000315696006531482,"2009-11-19"
"classInt",0.000152996973309605,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"clim.pact",0.00045747808976163,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"climatol",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"clinfun",0.000152996973309608,6.61813533741867e-05,0.000315696006531482,"2009-11-19"
"ClinicalRobustPriors",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"clue",0.000166445778697480,0.000175787168529313,0.000831041777190024,"2009-11-19"
"clues",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"cluster",0.00240861437775990,9.24761609221837e-05,0.00224196230250343,"2009-11-19"
"clusterfly",0.000152996973309607,0.000102023156530616,0.000315696006531482,"2009-11-19"
"clusterGeneration",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"clusterRepro",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"clusterSim",0.000165737946834954,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"clustTool",0.000152996973309589,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"clustvarsel",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"clv",0.000356941213131501,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"clValid",0.000152996973309604,0.000121025174010427,0.000315696006531482,"2009-11-19"
"cmprsk",0.000152996973309609,6.96005225522845e-05,0.000315696006531482,"2009-11-19"
"cmrutils",0.000233689805636830,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"cobs",0.00039507547029127,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"cocorresp",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"coda",0.00380273073686480,0.000151908022456315,0.000831041777190025,"2009-11-19"
"codetools",0.0006655649190784,6.49614756235757e-05,0.000521834314794899,"2009-11-19"
"coin",0.000202101589480728,0.000183109500679818,0.000315696006531482,"2009-11-19"
"colbycol",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"colorspace",0.0008818841155925,0.000157569234637337,0.000916932738966446,"2009-11-19"
"CombMSC",0.000152996973309611,8.03137692428452e-05,0.000315696006531482,"2009-11-19"
"compoisson",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"compositions",0.000228799330950327,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"concor",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"cond",0.000152996973309608,0.000105536664558459,0.000315696006531482,"2009-11-19"
"condGEE",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"Containers",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"contrast",0.000152996973309609,0.000227398224503947,0.000315696006531482,"2009-11-19"
"ConvergenceConcepts",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"convexHaz",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"COP",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"copas",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
